Date,Issuer,Symbol,Lead/Joint-Lead  Managers,Offer Price,Opening Price,1st Day Close,1st Day % Px Chng,$ Chg Opening,$ Chg Close,Star Ratings,Performed
5/5/2011,NetQin Mobile ,NQ,Piper Jaffray,$11.50 ,$11.50 ,$9.30 ,-19.13%,$0.00 ,($2.20),2,Missed
5/5/2011,SMG Indium Resources ,SGMEU,Sunrise Securities/ Rodman & Renshaw,$5.00 ,$5.05 ,$5.00 ,0.00%,$0.05 ,$0.00 ,1,
5/5/2011,Thermon Group Holdings ,THR,Barclays Capital/ Jefferies,$12.00 ,$12.05 ,$12.28 ,2.33%,$0.05 ,$0.28 ,1,
5/5/2011,VOC Energy Trust ,VOC,Raymond James/ Morgan Stanley,$21.00 ,$22.26 ,$21.00 ,0.00%,$1.26 ,$0.00 ,2,
5/10/2011,Universal Business Payment Solutions Acquisition  ,UBPSU,EarlyBirdCapital/ Rodman & Renshaw,$6.00 ,$6.00 ,$6.00 ,0.00%,$0.00 ,$0.00 ,1,
5/11/2011,FriendFinder Network ,FFN,Imperial Capital/ Ladenburg Thalmann & Co. Inc.,$10.00 ,$10.00 ,$7.85 ,-21.50%,$0.00 ,($2.15),1,
5/11/2011,Jiayuan.com International ,DATE,BofA Merrill Lynch/ Citi,$11.00 ,$11.00 ,$10.52 ,-4.36%,$0.00 ,($0.48),2,Missed
5/11/2011,Kosmos Energy ,KOS,Credit Suisse/ Barclays Capital / Citi/,$18.00 ,$19.50 ,$18.24 ,1.33%,$1.50 ,$0.24 ,2,
5/11/2011,RLJ Lodging Trust ,RLJ,BofA Merrill Lynch/ Barclays Capital/ Wells Fargo Securities,$18.00 ,$17.25 ,$17.68 ,-1.78%,($0.75),($0.32),1,
5/12/2011,China Zenix Auto International  ,ZX,Morgan Stanley,$6.00 ,$6.00 ,$5.85 ,-2.50%,$0.00 ,($0.15),1,
5/12/2011,NGL Energy Partners LP  ,NGL,Wells Fargo Securities/ RBC Capital Markets/ SunTrust Robinson Humphrey/ BMO Capital Markets,$21.00 ,$21.00 ,$20.98 ,-0.10%,$0.00 ,($0.02),1,
5/12/2011,Phoenix New Media  ,FENG,Morgan Stanley/ Deutsche Bank Securities/ Macquarie Capital,$11.00 ,$11.10 ,$14.75 ,34.09%,$0.10 ,$3.75 ,1,
5/13/2011,Global Eagle Acquisition  ,REAGLU,Citi,$10.00 ,$10.00 ,$10.20 ,2.00%,$0.00 ,$0.20 ,1,
5/19/2011,LinkedIn ,LNKD,Morgan Stanley/ BofA Merrill Lynch /J..P. Morgan Securities,$45.00 ,$83.00 ,$94.25 ,109.44%,$38.00 ,$49.25 ,3,
